id,firstname,middlename,lastname,country,birthyear,cp1
1,George,,Washington,A,2016,1
2,John,,Adams,A,2016,2
3,Thomas,,Jefferson,A,2017,3
4,James,,Madison,A,2017,4
5,James,,Monroe,A,2018,5
6,John,Q.,Adams,B,2016,6
7,Andrew,,Jackson,B,2016,7
8,Martin,V.,Buren,B,2017,8
9,William,H.,Harrison,B,2017,9
10,John,,Tyler,B,2017,10
11,James,K.,Polk,B,2017,11
12,Zachary,,Taylor,B,2018,12
13,Millard,,Fillmore,B,2018,13
14,Franklin,,Pierce,B,2018,14
15,James,,Buchanan,B,2018,15
16,Abraham,,Lincoln,B,2018,16
17,Andrew,,Johnson,B,2018,17
18,Ulysses,S.,Grant,B,2018,18
19,Rutherford,B.,Hayes,B,2018,19
20,James,A.,Garfield,B,2018,20
21,Chester,A.,Arthur,C,2016,21
22,Stephen,G.,Cleveland,C,2017,22
23,Benjamin,,Harrison,C,2018,23
24,Stephen,G.,Cleveland,C,2016,24
25,William,,McKinley,C,2017,25
26,Theodore,,Roosevelt,C,2018,26
27,William,H.,Taft,D,2015,27
28,Thomas,W.,Wilson,D,2015,28
29,Warren,G.,Harding,D,2015,29
30,John,C.,Coolidge,D,2016,30
31,Herbert,C.,Hoover,D,2016,31
32,Franklin,D.,Roosevelt,D,2016,32
33,Harry,S.,Truman,D,2016,33
34,Dwight,D.,Eisenhower,D,2016,34
35,John,F.,Kennedy,D,2017,35
36,Lyndon,B.,Johnson,D,2017,36
37,Richard,M.,Nixon,D,2017,37
38,Gerald,R.,Ford,D,2017,38
39,James,E.,Carter,D,2017,39
40,Ronald,W.,Reagan,D,2017,40
41,George,H.W.,Bush,D,2018,41
42,William,J.,Clinton,D,2018,42
43,George,W.,Bush,D,2018,43
44,Barack,H.,Obama,D,2018,44
45,Donald,J.,Trump,D,2018,45
