id,firstname,middlename,lastname,country,birthyear,cp1,cp2,cp3,cp4
1,George,,Washington,A,2016,1,George,,Washington
2,John,,Adams,A,2016,2,John,,Adams
3,Thomas,,Jefferson,A,2017,3,Thomas,,Jefferson
4,James,,Madison,A,2017,4,James,,Madison
5,James,,Monroe,A,2018,5,James,,Monroe
6,John,Q.,Adams,B,2016,6,John,Q.,Adams
7,Andrew,,Jackson,B,2016,7,Andrew,,Jackson
8,Martin,V.,Buren,B,2017,8,Martin,V.,Buren
9,William,H.,Harrison,B,2017,9,William,H.,Harrison
10,John,,Tyler,B,2017,10,John,,Tyler
11,James,K.,Polk,B,2017,11,James,K.,Polk
12,Zachary,,Taylor,B,2018,12,Zachary,,Taylor
13,Millard,,Fillmore,B,2018,13,Millard,,Fillmore
14,Franklin,,Pierce,B,2018,14,Franklin,,Pierce
15,James,,Buchanan,B,2018,15,James,,Buchanan
16,Abraham,,Lincoln,B,2018,16,Abraham,,Lincoln
17,Andrew,,Johnson,B,2018,17,Andrew,,Johnson
18,Ulysses,S.,Grant,B,2018,18,Ulysses,S.,Grant
19,Rutherford,B.,Hayes,B,2018,19,Rutherford,B.,Hayes
20,James,A.,Garfield,B,2018,20,James,A.,Garfield
21,Chester,A.,Arthur,C,2016,21,Chester,A.,Arthur
22,Stephen,G.,Cleveland,C,2017,22,Stephen,G.,Cleveland
23,Benjamin,,Harrison,C,2018,23,Benjamin,,Harrison
24,Stephen,G.,Cleveland,C,2016,24,Stephen,G.,Cleveland
25,William,,McKinley,C,2017,25,William,,McKinley
26,Theodore,,Roosevelt,C,2018,26,Theodore,,Roosevelt
27,William,H.,Taft,D,2015,27,William,H.,Taft
28,Thomas,W.,Wilson,D,2015,28,Thomas,W.,Wilson
29,Warren,G.,Harding,D,2015,29,Warren,G.,Harding
30,John,C.,Coolidge,D,2016,30,John,C.,Coolidge
31,Herbert,C.,Hoover,D,2016,31,Herbert,C.,Hoover
32,Franklin,D.,Roosevelt,D,2016,32,Franklin,D.,Roosevelt
33,Harry,S.,Truman,D,2016,33,Harry,S.,Truman
34,Dwight,D.,Eisenhower,D,2016,34,Dwight,D.,Eisenhower
35,John,F.,Kennedy,D,2017,35,John,F.,Kennedy
36,Lyndon,B.,Johnson,D,2017,36,Lyndon,B.,Johnson
37,Richard,M.,Nixon,D,2017,37,Richard,M.,Nixon
38,Gerald,R.,Ford,D,2017,38,Gerald,R.,Ford
39,James,E.,Carter,D,2017,39,James,E.,Carter
40,Ronald,W.,Reagan,D,2017,40,Ronald,W.,Reagan
41,George,H.W.,Bush,D,2018,41,George,H.W.,Bush
42,William,J.,Clinton,D,2018,42,William,J.,Clinton
43,George,W.,Bush,D,2018,43,George,W.,Bush
44,Barack,H.,Obama,D,2018,44,Barack,H.,Obama
45,Donald,J.,Trump,D,2018,45,Donald,J.,Trump
