id,firstname,middlename,lastname,country,birthyear,con1
1,George,,Washington,A,2016,12016
2,John,,Adams,A,2016,22016
3,Thomas,,Jefferson,A,2017,32017
4,James,,Madison,A,2017,42017
5,James,,Monroe,A,2018,52018
6,John,Q.,Adams,B,2016,62016
7,Andrew,,Jackson,B,2016,72016
8,Martin,V.,Buren,B,2017,82017
9,William,H.,Harrison,B,2017,92017
10,John,,Tyler,B,2017,102017
11,James,K.,Polk,B,2017,112017
12,Zachary,,Taylor,B,2018,122018
13,Millard,,Fillmore,B,2018,132018
14,Franklin,,Pierce,B,2018,142018
15,James,,Buchanan,B,2018,152018
16,Abraham,,Lincoln,B,2018,162018
17,Andrew,,Johnson,B,2018,172018
18,Ulysses,S.,Grant,B,2018,182018
19,Rutherford,B.,Hayes,B,2018,192018
20,James,A.,Garfield,B,2018,202018
21,Chester,A.,Arthur,C,2016,212016
22,Stephen,G.,Cleveland,C,2017,222017
23,Benjamin,,Harrison,C,2018,232018
24,Stephen,G.,Cleveland,C,2016,242016
25,William,,McKinley,C,2017,252017
26,Theodore,,Roosevelt,C,2018,262018
27,William,H.,Taft,D,2015,272015
28,Thomas,W.,Wilson,D,2015,282015
29,Warren,G.,Harding,D,2015,292015
30,John,C.,Coolidge,D,2016,302016
31,Herbert,C.,Hoover,D,2016,312016
32,Franklin,D.,Roosevelt,D,2016,322016
33,Harry,S.,Truman,D,2016,332016
34,Dwight,D.,Eisenhower,D,2016,342016
35,John,F.,Kennedy,D,2017,352017
36,Lyndon,B.,Johnson,D,2017,362017
37,Richard,M.,Nixon,D,2017,372017
38,Gerald,R.,Ford,D,2017,382017
39,James,E.,Carter,D,2017,392017
40,Ronald,W.,Reagan,D,2017,402017
41,George,H.W.,Bush,D,2018,412018
42,William,J.,Clinton,D,2018,422018
43,George,W.,Bush,D,2018,432018
44,Barack,H.,Obama,D,2018,442018
45,Donald,J.,Trump,D,2018,452018
