id,firstname,middlename,lastname,country,birthyear,con1,con2,con3
1,George,,Washington,A,2016,12016,20161,1
2,John,,Adams,A,2016,22016,20162,2
3,Thomas,,Jefferson,A,2017,32017,20173,3
4,James,,Madison,A,2017,42017,20174,4
5,James,,Monroe,A,2018,52018,20185,5
6,John,Q.,Adams,B,2016,62016,20166,6Q.
7,Andrew,,Jackson,B,2016,72016,20167,7
8,Martin,V.,Buren,B,2017,82017,20178,8V.
9,William,H.,Harrison,B,2017,92017,20179,9H.
10,John,,Tyler,B,2017,102017,201710,10
11,James,K.,Polk,B,2017,112017,201711,11K.
12,Zachary,,Taylor,B,2018,122018,201812,12
13,Millard,,Fillmore,B,2018,132018,201813,13
14,Franklin,,Pierce,B,2018,142018,201814,14
15,James,,Buchanan,B,2018,152018,201815,15
16,Abraham,,Lincoln,B,2018,162018,201816,16
17,Andrew,,Johnson,B,2018,172018,201817,17
18,Ulysses,S.,Grant,B,2018,182018,201818,18S.
19,Rutherford,B.,Hayes,B,2018,192018,201819,19B.
20,James,A.,Garfield,B,2018,202018,201820,20A.
21,Chester,A.,Arthur,C,2016,212016,201621,21A.
22,Stephen,G.,Cleveland,C,2017,222017,201722,22G.
23,Benjamin,,Harrison,C,2018,232018,201823,23
24,Stephen,G.,Cleveland,C,2016,242016,201624,24G.
25,William,,McKinley,C,2017,252017,201725,25
26,Theodore,,Roosevelt,C,2018,262018,201826,26
27,William,H.,Taft,D,2015,272015,201527,27H.
28,Thomas,W.,Wilson,D,2015,282015,201528,28W.
29,Warren,G.,Harding,D,2015,292015,201529,29G.
30,John,C.,Coolidge,D,2016,302016,201630,30C.
31,Herbert,C.,Hoover,D,2016,312016,201631,31C.
32,Franklin,D.,Roosevelt,D,2016,322016,201632,32D.
33,Harry,S.,Truman,D,2016,332016,201633,33S.
34,Dwight,D.,Eisenhower,D,2016,342016,201634,34D.
35,John,F.,Kennedy,D,2017,352017,201735,35F.
36,Lyndon,B.,Johnson,D,2017,362017,201736,36B.
37,Richard,M.,Nixon,D,2017,372017,201737,37M.
38,Gerald,R.,Ford,D,2017,382017,201738,38R.
39,James,E.,Carter,D,2017,392017,201739,39E.
40,Ronald,W.,Reagan,D,2017,402017,201740,40W.
41,George,H.W.,Bush,D,2018,412018,201841,41H.W.
42,William,J.,Clinton,D,2018,422018,201842,42J.
43,George,W.,Bush,D,2018,432018,201843,43W.
44,Barack,H.,Obama,D,2018,442018,201844,44H.
45,Donald,J.,Trump,D,2018,452018,201845,45J.
